Sample	Strain	Frequency
initial_8	YJM320 	0.018072303
initial_8	YJM326 	0.021723646
initial_8	YJM413 	0.017597036
initial_8	YJM421 	0.009647459
initial_8	YJM434 	0.042981514
initial_8	YJM436 	0.006415275
initial_8	YJM454 	0.0202339
initial_8	YJM975	0.012883769
initial_8	YJM978	0.016324295
initial_8	YPS128	0.019111536
initial_8	YPS606	0.020406658
larvae_10th_1	273614N	0.00003585
larvae_10th_1	CLIB154 	8.07E-05
larvae_10th_1	CLIB294	5.34E-05
larvae_10th_1	CLIB413 	0.001013963
larvae_10th_1	CLIB483 	3.42E-05
larvae_10th_1	DBVPG1106	0.000016937
larvae_10th_1	DBVPG1399 	2.06E-05
larvae_10th_1	DBVPG1853	2.82E-05
larvae_10th_1	DBVPG3591 	2.74E-05
larvae_10th_1	DBVPG4651	1.86E-05
larvae_10th_1	DBVPG6040	7.20E-05
larvae_10th_1	DBVPG6765	1.95E-05
larvae_10th_1	EM93	0.000375155
larvae_10th_1	I14 	2.94E-05
larvae_10th_1	K12 	4.88E-05
larvae_10th_1	L-1374	4.63E-05
larvae_10th_1	L-1528	0.000223569
larvae_10th_1	M22 	4.04E-05
larvae_10th_1	NCYC361	0.000041778
larvae_10th_1	S288c	3.11E-05
larvae_10th_1	SSP81	0.993934288
larvae_10th_1	T73 	5.53E-05
larvae_10th_1	UWOPS03-461.4	0.000369792
larvae_10th_1	UWOPS05-217.3	0.000173322
larvae_10th_1	UWOPS83-787.3	0.000137754
larvae_10th_1	UWOPS87-2421	6.89E-05
larvae_10th_1	WE372 	0.000043754
larvae_10th_1	Y55	0.000039802
larvae_10th_1	Y9J 	9.32E-06
larvae_10th_1	YIIc17_E5	2.03E-05
larvae_10th_1	YJM145 	6.66E-05
larvae_10th_1	YJM269 	0.000690466
larvae_10th_1	YJM320 	3.67E-05
larvae_10th_1	YJM326 	3.84E-05
larvae_10th_1	YJM413 	2.54E-05
larvae_10th_1	YJM421 	4.04E-05
larvae_10th_1	YJM434 	8.58E-05
larvae_10th_1	YJM436 	1.95E-05
larvae_10th_1	YJM454 	3.19E-05
larvae_10th_1	YJM975	4.60E-05
larvae_10th_1	YJM978	9.17E-05
larvae_10th_1	YPS128	0.001716849
larvae_10th_1	YPS606	0
larvae_10th_2	273614N	2.81E-05
larvae_10th_2	CLIB154 	8.60E-05
larvae_10th_2	CLIB294	6.95E-05
larvae_10th_2	CLIB413 	0.000871025
larvae_10th_2	CLIB483 	3.88E-05
larvae_10th_2	DBVPG1106	1.94E-05
larvae_10th_2	DBVPG1399 	2.26E-05
larvae_10th_2	DBVPG1853	3.01E-05
larvae_10th_2	DBVPG3591 	3.39E-05
larvae_10th_2	DBVPG4651	1.42E-05
larvae_10th_2	DBVPG6040	8.63E-05
larvae_10th_2	DBVPG6765	1.81E-05
larvae_10th_2	EM93	0.000293251
larvae_10th_2	I14 	3.04E-05
larvae_10th_2	K12 	3.88E-05
larvae_10th_2	L-1374	4.72E-05
larvae_10th_2	L-1528	0.000215008
larvae_10th_2	M22 	3.30E-05
larvae_10th_2	NCYC361	3.52E-05
larvae_10th_2	S288c	3.17E-05
larvae_10th_2	SSP81	0.994533303
larvae_10th_2	T73 	4.79E-05
larvae_10th_2	UWOPS03-461.4	0.000220828
larvae_10th_2	UWOPS05-217.3	0.000107342
larvae_10th_2	UWOPS83-787.3	0.000117365
larvae_10th_2	UWOPS87-2421	6.79E-05
larvae_10th_2	WE372 	4.24E-05
larvae_10th_2	Y55	3.94E-05
larvae_10th_2	Y9J 	8.41E-06
larvae_10th_2	YIIc17_E5	1.84E-05
larvae_10th_2	YJM145 	7.05E-05
larvae_10th_2	YJM269 	0.000655693
larvae_10th_2	YJM320 	3.39E-05
larvae_10th_2	YJM326 	3.72E-05
larvae_10th_2	YJM413 	1.97E-05
larvae_10th_2	YJM421 	4.56E-05
larvae_10th_2	YJM434 	8.96E-05
larvae_10th_2	YJM436 	1.33E-05
larvae_10th_2	YJM454 	2.39E-05
larvae_10th_2	YJM975	4.98E-05
larvae_10th_2	YJM978	0.000101199
larvae_10th_2	YPS128	0.001613691
larvae_10th_2	YPS606	0
larvae_10th_3	273614N	3.78E-05
larvae_10th_3	CLIB154 	0.000101218
larvae_10th_3	CLIB294	7.06E-05
larvae_10th_3	CLIB413 	0.001390321
larvae_10th_3	CLIB483 	6.16E-05
larvae_10th_3	DBVPG1106	2.10E-05
larvae_10th_3	DBVPG1399 	2.70E-05
larvae_10th_3	DBVPG1853	4.57E-05
larvae_10th_3	DBVPG3591 	4.05E-05
larvae_10th_3	DBVPG4651	1.65E-05
larvae_10th_3	DBVPG6040	0.000164292
larvae_10th_3	DBVPG6765	3.18E-05
larvae_10th_3	EM93	0.000422292
larvae_10th_3	I14 	3.24E-05
larvae_10th_3	K12 	5.47E-05
larvae_10th_3	L-1374	4.78E-05
larvae_10th_3	L-1528	0.000296746
larvae_10th_3	M22 	5.56E-05
larvae_10th_3	NCYC361	3.57E-05
larvae_10th_3	S288c	0.000047155
larvae_10th_3	SSP81	0.991239085
larvae_10th_3	T73 	7.96E-05
larvae_10th_3	UWOPS03-461.4	0.000460737
larvae_10th_3	UWOPS05-217.3	0.000224662
larvae_10th_3	UWOPS83-787.3	0.000243584
larvae_10th_3	UWOPS87-2421	8.98E-05
larvae_10th_3	WE372 	5.50E-05
larvae_10th_3	Y55	7.36E-05
larvae_10th_3	Y9J 	9.91E-06
larvae_10th_3	YIIc17_E5	2.04E-05
larvae_10th_3	YJM145 	9.76E-05
larvae_10th_3	YJM269 	0.00113202
larvae_10th_3	YJM320 	4.63E-05
larvae_10th_3	YJM326 	0.000047155
larvae_10th_3	YJM413 	3.63E-05
larvae_10th_3	YJM421 	7.15E-05
larvae_10th_3	YJM434 	9.55E-05
larvae_10th_3	YJM436 	2.61E-05
larvae_10th_3	YJM454 	3.72E-05
larvae_10th_3	YJM975	8.38E-05
larvae_10th_3	YJM978	0.000190422
larvae_10th_3	YPS128	0.002638877
larvae_10th_3	YPS606	0
larvae_10th_4	273614N	8.56E-05
larvae_10th_4	CLIB154 	0.000240422
larvae_10th_4	CLIB294	0.000184041
larvae_10th_4	CLIB413 	0.00188248
larvae_10th_4	CLIB483 	6.37E-05
larvae_10th_4	DBVPG1106	5.96E-05
larvae_10th_4	DBVPG1399 	0.000072448
larvae_10th_4	DBVPG1853	6.51E-05
larvae_10th_4	DBVPG3591 	8.62E-05
larvae_10th_4	DBVPG4651	5.35E-05
larvae_10th_4	DBVPG6040	0.000128829
larvae_10th_4	DBVPG6765	5.52E-05
larvae_10th_4	EM93	0.001053418
larvae_10th_4	I14 	8.12E-05
larvae_10th_4	K12 	0.000097279
larvae_10th_4	L-1374	9.79E-05
larvae_10th_4	L-1528	0.000542776
larvae_10th_4	M22 	0.000081504
larvae_10th_4	NCYC361	7.98E-05
larvae_10th_4	S288c	8.33E-05
larvae_10th_4	SSP81	0.968314362
larvae_10th_4	T73 	0.000121818
larvae_10th_4	UWOPS03-461.4	0.000540439
larvae_10th_4	UWOPS05-217.3	0.00024013
larvae_10th_4	UWOPS83-787.3	0.000156873
larvae_10th_4	UWOPS87-2421	0.00015921
larvae_10th_4	WE372 	0.000117144
larvae_10th_4	Y55	0.000088223
larvae_10th_4	Y9J 	0.000018112
larvae_10th_4	YIIc17_E5	4.85E-05
larvae_10th_4	YJM145 	0.000132334
larvae_10th_4	YJM269 	0.000644437
larvae_10th_4	YJM320 	9.64E-05
larvae_10th_4	YJM326 	0.000106919
larvae_10th_4	YJM413 	7.83E-05
larvae_10th_4	YJM421 	7.51E-05
larvae_10th_4	YJM434 	0.000243636
larvae_10th_4	YJM436 	3.97E-05
larvae_10th_4	YJM454 	8.06E-05
larvae_10th_4	YJM975	9.00E-05
larvae_10th_4	YJM978	0.000146649
larvae_10th_4	YPS128	0.001579542
larvae_10th_4	YPS606	0.021787427
larvae_10th_5	273614N	3.29E-05
larvae_10th_5	CLIB154 	8.72E-05
larvae_10th_5	CLIB294	6.13E-05
larvae_10th_5	CLIB413 	0.00150174
larvae_10th_5	CLIB483 	3.95E-05
larvae_10th_5	DBVPG1106	2.11E-05
larvae_10th_5	DBVPG1399 	2.90E-05
larvae_10th_5	DBVPG1853	2.84E-05
larvae_10th_5	DBVPG3591 	2.56E-05
larvae_10th_5	DBVPG4651	1.78E-05
larvae_10th_5	DBVPG6040	0.000068494
larvae_10th_5	DBVPG6765	1.57E-05
larvae_10th_5	EM93	0.000537392
larvae_10th_5	I14 	2.90E-05
larvae_10th_5	K12 	3.62E-05
larvae_10th_5	L-1374	4.56E-05
larvae_10th_5	L-1528	0.000226905
larvae_10th_5	M22 	3.44E-05
larvae_10th_5	NCYC361	3.89E-05
larvae_10th_5	S288c	2.66E-05
larvae_10th_5	SSP81	0.9939511
larvae_10th_5	T73 	5.19E-05
larvae_10th_5	UWOPS03-461.4	0.000259795
larvae_10th_5	UWOPS05-217.3	0.000119186
larvae_10th_5	UWOPS83-787.3	0.000112246
larvae_10th_5	UWOPS87-2421	7.39E-05
larvae_10th_5	WE372 	4.53E-05
larvae_10th_5	Y55	3.80E-05
larvae_10th_5	Y9J 	6.34E-06
larvae_10th_5	YIIc17_E5	1.78E-05
larvae_10th_5	YJM145 	0.000069701
larvae_10th_5	YJM269 	0.000542219
larvae_10th_5	YJM320 	3.98E-05
larvae_10th_5	YJM326 	3.89E-05
larvae_10th_5	YJM413 	2.53E-05
larvae_10th_5	YJM421 	3.44E-05
larvae_10th_5	YJM434 	0.000104401
larvae_10th_5	YJM436 	1.36E-05
larvae_10th_5	YJM454 	0.000027458
larvae_10th_5	YJM975	5.19E-05
larvae_10th_5	YJM978	8.72E-05
larvae_10th_5	YPS128	0.001385873
larvae_10th_5	YPS606	0
larvae_10th_6	273614N	3.23E-05
larvae_10th_6	CLIB154 	8.34E-05
larvae_10th_6	CLIB294	5.41E-05
larvae_10th_6	CLIB413 	0.001764866
larvae_10th_6	CLIB483 	3.36E-05
larvae_10th_6	DBVPG1106	1.71E-05
larvae_10th_6	DBVPG1399 	2.70E-05
larvae_10th_6	DBVPG1853	2.28E-05
larvae_10th_6	DBVPG3591 	2.01E-05
larvae_10th_6	DBVPG4651	1.42E-05
larvae_10th_6	DBVPG6040	8.24E-05
larvae_10th_6	DBVPG6765	1.65E-05
larvae_10th_6	EM93	0.000569163
larvae_10th_6	I14 	3.07E-05
larvae_10th_6	K12 	3.59E-05
larvae_10th_6	L-1374	4.68E-05
larvae_10th_6	L-1528	0.000208077
larvae_10th_6	M22 	4.15E-05
larvae_10th_6	NCYC361	3.43E-05
larvae_10th_6	S288c	0.000030008
larvae_10th_6	SSP81	0.850560787
larvae_10th_6	T73 	4.75E-05
larvae_10th_6	UWOPS03-461.4	0.000266115
larvae_10th_6	UWOPS05-217.3	0.000149051
larvae_10th_6	UWOPS83-787.3	0.000111129
larvae_10th_6	UWOPS87-2421	7.32E-05
larvae_10th_6	WE372 	4.02E-05
larvae_10th_6	Y55	0.00004089
larvae_10th_6	Y9J 	7.25E-06
larvae_10th_6	YIIc17_E5	1.81E-05
larvae_10th_6	YJM145 	5.31E-05
larvae_10th_6	YJM269 	0.000564546
larvae_10th_6	YJM320 	3.50E-05
larvae_10th_6	YJM326 	0.000039571
larvae_10th_6	YJM413 	2.37E-05
larvae_10th_6	YJM421 	4.19E-05
larvae_10th_6	YJM434 	8.47E-05
larvae_10th_6	YJM436 	1.52E-05
larvae_10th_6	YJM454 	2.77E-05
larvae_10th_6	YJM975	4.75E-05
larvae_10th_6	YJM978	8.47E-05
larvae_10th_6	YPS128	0.001441374
larvae_10th_6	YPS606	0.143061687
larvae_10th_7	273614N	3.35E-05
larvae_10th_7	CLIB154 	7.38E-05
larvae_10th_7	CLIB294	0.000052692
larvae_10th_7	CLIB413 	0.006443922
larvae_10th_7	CLIB483 	3.07E-05
larvae_10th_7	DBVPG1106	1.61E-05
larvae_10th_7	DBVPG1399 	2.08E-05
larvae_10th_7	DBVPG1853	2.51E-05
larvae_10th_7	DBVPG3591 	2.57E-05
larvae_10th_7	DBVPG4651	1.55E-05
larvae_10th_7	DBVPG6040	7.31E-05
larvae_10th_7	DBVPG6765	1.52E-05
larvae_10th_7	EM93	0.00197533
larvae_10th_7	I14 	3.16E-05
larvae_10th_7	K12 	3.84E-05
larvae_10th_7	L-1374	0.000039364
larvae_10th_7	L-1528	0.000193721
larvae_10th_7	M22 	3.41E-05
larvae_10th_7	NCYC361	3.19E-05
larvae_10th_7	S288c	0.000026346
larvae_10th_7	SSP81	0.987764607
larvae_10th_7	T73 	4.87E-05
larvae_10th_7	UWOPS03-461.4	0.000365744
larvae_10th_7	UWOPS05-217.3	0.000158696
larvae_10th_7	UWOPS83-787.3	0.000100425
larvae_10th_7	UWOPS87-2421	6.48E-05
larvae_10th_7	WE372 	4.00E-05
larvae_10th_7	Y55	3.22E-05
larvae_10th_7	Y9J 	5.89E-06
larvae_10th_7	YIIc17_E5	1.74E-05
larvae_10th_7	YJM145 	6.04E-05
larvae_10th_7	YJM269 	0.000493445
larvae_10th_7	YJM320 	3.35E-05
larvae_10th_7	YJM326 	4.12E-05
larvae_10th_7	YJM413 	2.29E-05
larvae_10th_7	YJM421 	2.94E-05
larvae_10th_7	YJM434 	7.62E-05
larvae_10th_7	YJM436 	1.12E-05
larvae_10th_7	YJM454 	2.98E-05
larvae_10th_7	YJM975	4.90E-05
larvae_10th_7	YJM978	8.65E-05
larvae_10th_7	YPS128	0.001271117
larvae_10th_7	YPS606	0
larvae_10th_8	273614N	9.31E-05
larvae_10th_8	CLIB154 	0.000239284
larvae_10th_8	CLIB294	0.000163702
larvae_10th_8	CLIB413 	0.00173696
larvae_10th_8	CLIB483 	7.52E-05
larvae_10th_8	DBVPG1106	6.27E-05
larvae_10th_8	DBVPG1399 	7.06E-05
larvae_10th_8	DBVPG1853	7.20E-05
larvae_10th_8	DBVPG3591 	7.67E-05
larvae_10th_8	DBVPG4651	4.66E-05
larvae_10th_8	DBVPG6040	0.000190568
larvae_10th_8	DBVPG6765	4.98E-05
larvae_10th_8	EM93	0.000658748
larvae_10th_8	I14 	8.20E-05
larvae_10th_8	K12 	0.000111045
larvae_10th_8	L-1374	0.000101732
larvae_10th_8	L-1528	0.000544121
larvae_10th_8	M22 	0.000103523
larvae_10th_8	NCYC361	8.10E-05
larvae_10th_8	S288c	7.45E-05
larvae_10th_8	SSP81	0.988721399
larvae_10th_8	T73 	0.000129314
larvae_10th_8	UWOPS03-461.4	0.000564539
larvae_10th_8	UWOPS05-217.3	0.000251463
larvae_10th_8	UWOPS83-787.3	0.000232837
larvae_10th_8	UWOPS87-2421	0.000170508
larvae_10th_8	WE372 	0.000122866
larvae_10th_8	Y55	0.000101015
larvae_10th_8	Y9J 	1.83E-05
larvae_10th_8	YIIc17_E5	4.66E-05
larvae_10th_8	YJM145 	0.000200239
larvae_10th_8	YJM269 	0.001100063
larvae_10th_8	YJM320 	8.96E-05
larvae_10th_8	YJM326 	0.000104597
larvae_10th_8	YJM413 	7.38E-05
larvae_10th_8	YJM421 	7.99E-05
larvae_10th_8	YJM434 	0.000243941
larvae_10th_8	YJM436 	4.05E-05
larvae_10th_8	YJM454 	8.67E-05
larvae_10th_8	YJM975	0.000145791
larvae_10th_8	YJM978	0.00026221
larvae_10th_8	YPS128	0.002580187
larvae_10th_8	YPS606	0
larvae_1st_1	273614N	0.006024176
larvae_1st_1	CLIB154 	0.023985562
larvae_1st_1	CLIB294	0.011010621
larvae_1st_1	CLIB413 	0.341467326
larvae_1st_1	CLIB483 	0.002554791
larvae_1st_1	DBVPG1106	0.022092726
larvae_1st_1	DBVPG1399 	0.006624929
larvae_1st_1	DBVPG1853	0.013950247
larvae_1st_1	DBVPG3591 	0.025809119
larvae_1st_1	DBVPG4651	0.000700144
larvae_1st_1	DBVPG6040	0.011807219
larvae_1st_1	DBVPG6765	0.006240339
larvae_1st_1	EM93	0.082553832
larvae_1st_1	I14 	0.010335447
larvae_1st_1	K12 	0.005019739
larvae_1st_1	L-1374	0.008337589
larvae_1st_1	L-1528	0.048692077
larvae_1st_1	M22 	0.001157686
larvae_1st_1	NCYC361	0.011001563
larvae_1st_1	S288c	0.012252765
