Sample	Strain	Frequency
larvae_5th_8	T73 	0.00018433
larvae_5th_8	UWOPS03-461.4	0.011066158
larvae_5th_8	UWOPS05-217.3	0.004215837
larvae_5th_8	UWOPS83-787.3	0.000165437
larvae_5th_8	UWOPS87-2421	0.000193265
larvae_5th_8	WE372 	0.000141183
larvae_5th_8	Y55	0.000126886
larvae_5th_8	Y9J 	1.99E-05
larvae_5th_8	YIIc17_E5	9.68E-05
larvae_5th_8	YJM145 	0.000171564
larvae_5th_8	YJM269 	0.00061656
larvae_5th_8	YJM320 	0.00010927
larvae_5th_8	YJM326 	0.000124078
larvae_5th_8	YJM413 	8.37E-05
larvae_5th_8	YJM421 	6.61E-05
larvae_5th_8	YJM434 	0.000373765
larvae_5th_8	YJM436 	4.14E-05
larvae_5th_8	YJM454 	9.93E-05
larvae_5th_8	YJM975	0.000214966
larvae_5th_8	YJM978	0.000204499
larvae_5th_8	YPS128	0.001585183
larvae_5th_8	YPS606	0
ypd_10th_1	273614N	2.30E-05
ypd_10th_1	CLIB154 	6.74E-05
ypd_10th_1	CLIB294	0.000042909
ypd_10th_1	CLIB413 	0.000855881
ypd_10th_1	CLIB483 	0.00108294
ypd_10th_1	DBVPG1106	1.28E-05
ypd_10th_1	DBVPG1399 	1.71E-05
ypd_10th_1	DBVPG1853	3.83E-05
ypd_10th_1	DBVPG3591 	2.17E-05
ypd_10th_1	DBVPG4651	1.10E-05
ypd_10th_1	DBVPG6040	0.002736468
ypd_10th_1	DBVPG6765	1.46E-05
ypd_10th_1	EM93	0.000067173
ypd_10th_1	I14 	2.76E-05
ypd_10th_1	K12 	0.000136645
ypd_10th_1	L-1374	3.35E-05
ypd_10th_1	L-1528	0.001384325
ypd_10th_1	M22 	0.000257454
ypd_10th_1	NCYC361	2.50E-05
ypd_10th_1	S288c	4.50E-05
ypd_10th_1	SSP81	0.034566872
ypd_10th_1	T73 	0.000118766
ypd_10th_1	UWOPS03-461.4	0.003908547
ypd_10th_1	UWOPS05-217.3	0.00119762
ypd_10th_1	UWOPS83-787.3	0.013866746
ypd_10th_1	UWOPS87-2421	4.73E-05
ypd_10th_1	WE372 	2.84E-05
ypd_10th_1	Y55	7.18E-05
ypd_10th_1	Y9J 	6.13E-06
ypd_10th_1	YIIc17_E5	1.17E-05
ypd_10th_1	YJM145 	0.000337653
ypd_10th_1	YJM269 	0.124642617
ypd_10th_1	YJM320 	3.55E-05
ypd_10th_1	YJM326 	2.50E-05
ypd_10th_1	YJM413 	2.07E-05
ypd_10th_1	YJM421 	0.001806008
ypd_10th_1	YJM434 	6.13E-05
ypd_10th_1	YJM436 	0.000325904
ypd_10th_1	YJM454 	2.25E-05
ypd_10th_1	YJM975	0.000634184
ypd_10th_1	YJM978	0.002704286
ypd_10th_1	YPS128	0.360598999
ypd_10th_1	YPS606	0.448060872
ypd_10th_2	273614N	0.000037567
ypd_10th_2	CLIB154 	0.000101431
ypd_10th_2	CLIB294	6.31E-05
ypd_10th_2	CLIB413 	0.00141252
ypd_10th_2	CLIB483 	0.001176975
ypd_10th_2	DBVPG1106	2.01E-05
ypd_10th_2	DBVPG1399 	2.74E-05
ypd_10th_2	DBVPG1853	4.88E-05
ypd_10th_2	DBVPG3591 	0.000030805
ypd_10th_2	DBVPG4651	1.31E-05
ypd_10th_2	DBVPG6040	0.002190158
ypd_10th_2	DBVPG6765	1.97E-05
ypd_10th_2	EM93	0.000103309
ypd_10th_2	I14 	3.70E-05
ypd_10th_2	K12 	0.000109132
ypd_10th_2	L-1374	5.11E-05
ypd_10th_2	L-1528	0.001473191
ypd_10th_2	M22 	0.000193095
ypd_10th_2	NCYC361	3.01E-05
ypd_10th_2	S288c	5.56E-05
ypd_10th_2	SSP81	0.038119072
ypd_10th_2	T73 	0.000179007
ypd_10th_2	UWOPS03-461.4	0.007057905
ypd_10th_2	UWOPS05-217.3	0.002198234
ypd_10th_2	UWOPS83-787.3	0.012502118
ypd_10th_2	UWOPS87-2421	8.49E-05
ypd_10th_2	WE372 	4.15E-05
ypd_10th_2	Y55	0.000122093
ypd_10th_2	Y9J 	7.51E-06
ypd_10th_2	YIIc17_E5	2.12E-05
ypd_10th_2	YJM145 	0.000236672
ypd_10th_2	YJM269 	0.131793386
ypd_10th_2	YJM320 	5.11E-05
ypd_10th_2	YJM326 	4.11E-05
ypd_10th_2	YJM413 	2.54E-05
ypd_10th_2	YJM421 	0.00254047
ypd_10th_2	YJM434 	9.82E-05
ypd_10th_2	YJM436 	0.000479355
ypd_10th_2	YJM454 	3.23E-05
ypd_10th_2	YJM975	0.00042338
ypd_10th_2	YJM978	0.001900516
ypd_10th_2	YPS128	0.347619321
ypd_10th_2	YPS606	0.447230916
ypd_10th_3	273614N	2.33E-05
ypd_10th_3	CLIB154 	9.21E-05
ypd_10th_3	CLIB294	4.59E-05
ypd_10th_3	CLIB413 	0.001281638
ypd_10th_3	CLIB483 	0.001340221
ypd_10th_3	DBVPG1106	1.56E-05
ypd_10th_3	DBVPG1399 	1.74E-05
ypd_10th_3	DBVPG1853	5.26E-05
ypd_10th_3	DBVPG3591 	2.09E-05
ypd_10th_3	DBVPG4651	9.68E-06
ypd_10th_3	DBVPG6040	0.002494266
ypd_10th_3	DBVPG6765	1.39E-05
ypd_10th_3	EM93	8.81E-05
ypd_10th_3	I14 	3.25E-05
ypd_10th_3	K12 	0.000140005
ypd_10th_3	L-1374	3.05E-05
ypd_10th_3	L-1528	0.001921092
ypd_10th_3	M22 	0.000316748
ypd_10th_3	NCYC361	2.13E-05
ypd_10th_3	S288c	6.18E-05
ypd_10th_3	SSP81	0.035769997
ypd_10th_3	T73 	0.000140749
ypd_10th_3	UWOPS03-461.4	0.004378371
ypd_10th_3	UWOPS05-217.3	0.001431075
ypd_10th_3	UWOPS83-787.3	0.019534117
ypd_10th_3	UWOPS87-2421	5.46E-05
ypd_10th_3	WE372 	3.18E-05
ypd_10th_3	Y55	0.000118408
ypd_10th_3	Y9J 	6.45E-06
ypd_10th_3	YIIc17_E5	1.37E-05
ypd_10th_3	YJM145 	0.000304584
ypd_10th_3	YJM269 	0.133486941
ypd_10th_3	YJM320 	3.75E-05
ypd_10th_3	YJM326 	3.08E-05
ypd_10th_3	YJM413 	1.81E-05
ypd_10th_3	YJM421 	0.002547885
ypd_10th_3	YJM434 	6.50E-05
ypd_10th_3	YJM436 	0.000522287
ypd_10th_3	YJM454 	0.0000211
ypd_10th_3	YJM975	0.000618354
ypd_10th_3	YJM978	0.003508555
ypd_10th_3	YPS128	0.354050787
ypd_10th_3	YPS606	0.435289141
ypd_10th_4	273614N	3.24E-05
ypd_10th_4	CLIB154 	8.83E-05
ypd_10th_4	CLIB294	5.88E-05
ypd_10th_4	CLIB413 	0.000731161
ypd_10th_4	CLIB483 	0.001130072
ypd_10th_4	DBVPG1106	1.77E-05
ypd_10th_4	DBVPG1399 	2.66E-05
ypd_10th_4	DBVPG1853	4.93E-05
ypd_10th_4	DBVPG3591 	2.50E-05
ypd_10th_4	DBVPG4651	1.66E-05
ypd_10th_4	DBVPG6040	0.002000615
ypd_10th_4	DBVPG6765	1.77E-05
ypd_10th_4	EM93	9.59E-05
ypd_10th_4	I14 	2.82E-05
ypd_10th_4	K12 	0.000212893
ypd_10th_4	L-1374	0.000049798
ypd_10th_4	L-1528	0.001780345
ypd_10th_4	M22 	0.000282452
ypd_10th_4	NCYC361	3.29E-05
ypd_10th_4	S288c	5.82E-05
ypd_10th_4	SSP81	0.029722762
ypd_10th_4	T73 	0.000191288
ypd_10th_4	UWOPS03-461.4	0.007549537
ypd_10th_4	UWOPS05-217.3	0.002239066
ypd_10th_4	UWOPS83-787.3	0.02451775
ypd_10th_4	UWOPS87-2421	7.25E-05
ypd_10th_4	WE372 	3.82E-05
ypd_10th_4	Y55	8.09E-05
ypd_10th_4	Y9J 	1.00E-05
ypd_10th_4	YIIc17_E5	1.69E-05
ypd_10th_4	YJM145 	0.000208677
ypd_10th_4	YJM269 	0.126098323
ypd_10th_4	YJM320 	4.53E-05
ypd_10th_4	YJM326 	3.93E-05
ypd_10th_4	YJM413 	0.000021869
ypd_10th_4	YJM421 	0.002421659
ypd_10th_4	YJM434 	8.62E-05
ypd_10th_4	YJM436 	0.000449763
ypd_10th_4	YJM454 	2.37E-05
ypd_10th_4	YJM975	0.000369138
ypd_10th_4	YJM978	0.001691288
ypd_10th_4	YPS128	0.358399739
ypd_10th_4	YPS606	0.438971413
ypd_10th_5	273614N	2.95E-05
ypd_10th_5	CLIB154 	9.97E-05
ypd_10th_5	CLIB294	5.10E-05
ypd_10th_5	CLIB413 	0.001423825
ypd_10th_5	CLIB483 	0.001962149
ypd_10th_5	DBVPG1106	1.76E-05
ypd_10th_5	DBVPG1399 	2.49E-05
ypd_10th_5	DBVPG1853	5.10E-05
ypd_10th_5	DBVPG3591 	2.86E-05
ypd_10th_5	DBVPG4651	0.000015858
ypd_10th_5	DBVPG6040	0.002789599
ypd_10th_5	DBVPG6765	1.98E-05
ypd_10th_5	EM93	0.000116103
ypd_10th_5	I14 	3.82E-05
ypd_10th_5	K12 	0.000236455
ypd_10th_5	L-1374	4.93E-05
ypd_10th_5	L-1528	0.002695583
ypd_10th_5	M22 	0.000468095
ypd_10th_5	NCYC361	0.000026902
ypd_10th_5	S288c	6.63E-05
ypd_10th_5	SSP81	0.045734796
ypd_10th_5	T73 	0.000189447
ypd_10th_5	UWOPS03-461.4	0.009675669
ypd_10th_5	UWOPS05-217.3	0.002816501
ypd_10th_5	UWOPS83-787.3	0.022951113
ypd_10th_5	UWOPS87-2421	7.45E-05
ypd_10th_5	WE372 	0.000034831
ypd_10th_5	Y55	0.000109874
ypd_10th_5	Y9J 	7.36E-06
ypd_10th_5	YIIc17_E5	0.000018973
ypd_10th_5	YJM145 	0.000429866
ypd_10th_5	YJM269 	0.12824481
ypd_10th_5	YJM320 	0.000052105
ypd_10th_5	YJM326 	4.19E-05
ypd_10th_5	YJM413 	0.000022088
ypd_10th_5	YJM421 	0.003781859
ypd_10th_5	YJM434 	9.12E-05
ypd_10th_5	YJM436 	0.000557863
ypd_10th_5	YJM454 	2.95E-05
ypd_10th_5	YJM975	0.000833397
ypd_10th_5	YJM978	0.00419077
ypd_10th_5	YPS128	0.344202414
ypd_10th_5	YPS606	0.425698929
ypd_10th_6	273614N	4.05E-05
ypd_10th_6	CLIB154 	0.000108721
ypd_10th_6	CLIB294	6.32E-05
ypd_10th_6	CLIB413 	0.000898196
ypd_10th_6	CLIB483 	0.001147615
ypd_10th_6	DBVPG1106	2.06E-05
ypd_10th_6	DBVPG1399 	3.62E-05
ypd_10th_6	DBVPG1853	4.26E-05
ypd_10th_6	DBVPG3591 	3.20E-05
ypd_10th_6	DBVPG4651	1.92E-05
ypd_10th_6	DBVPG6040	0.001255626
ypd_10th_6	DBVPG6765	2.49E-05
ypd_10th_6	EM93	0.000110143
ypd_10th_6	I14 	3.13E-05
ypd_10th_6	K12 	0.000152779
ypd_10th_6	L-1374	5.26E-05
ypd_10th_6	L-1528	0.001733148
ypd_10th_6	M22 	0.000246577
ypd_10th_6	NCYC361	3.84E-05
ypd_10th_6	S288c	5.54E-05
ypd_10th_6	SSP81	0.019744668
ypd_10th_6	T73 	0.000139988
ypd_10th_6	UWOPS03-461.4	0.005748025
ypd_10th_6	UWOPS05-217.3	0.001980436
ypd_10th_6	UWOPS83-787.3	0.023962776
ypd_10th_6	UWOPS87-2421	9.24E-05
ypd_10th_6	WE372 	5.05E-05
ypd_10th_6	Y55	8.03E-05
ypd_10th_6	Y9J 	0
ypd_10th_6	YIIc17_E5	2.27E-05
ypd_10th_6	YJM145 	0.000216732
ypd_10th_6	YJM269 	0.100118954
ypd_10th_6	YJM320 	5.05E-05
ypd_10th_6	YJM326 	4.12E-05
ypd_10th_6	YJM413 	3.27E-05
ypd_10th_6	YJM421 	0.002860866
ypd_10th_6	YJM434 	0.000109432
ypd_10th_6	YJM436 	0.000421384
ypd_10th_6	YJM454 	3.84E-05
ypd_10th_6	YJM975	0.000424937
ypd_10th_6	YJM978	0.001648587
ypd_10th_6	YPS128	0.384762369
ypd_10th_6	YPS606	0.451342532
ypd_10th_7	273614N	2.75E-05
ypd_10th_7	CLIB154 	7.20E-05
ypd_10th_7	CLIB294	4.25E-05
ypd_10th_7	CLIB413 	0.001117762
ypd_10th_7	CLIB483 	0.001543657
ypd_10th_7	DBVPG1106	1.67E-05
ypd_10th_7	DBVPG1399 	1.93E-05
ypd_10th_7	DBVPG1853	4.22E-05
ypd_10th_7	DBVPG3591 	1.56E-05
ypd_10th_7	DBVPG4651	1.19E-05
ypd_10th_7	DBVPG6040	0.002282026
ypd_10th_7	DBVPG6765	0.000013894
ypd_10th_7	EM93	7.80E-05
ypd_10th_7	I14 	2.69E-05
ypd_10th_7	K12 	0.000126464
ypd_10th_7	L-1374	3.46E-05
ypd_10th_7	L-1528	0.001430236
ypd_10th_7	M22 	0.000313325
ypd_10th_7	NCYC361	2.67E-05
ypd_10th_7	S288c	5.81E-05
ypd_10th_7	SSP81	0.041563194
ypd_10th_7	T73 	0.000144328
ypd_10th_7	UWOPS03-461.4	0.005966501
ypd_10th_7	UWOPS05-217.3	0.001951405
ypd_10th_7	UWOPS83-787.3	0.018159521
ypd_10th_7	UWOPS87-2421	0.000056994
ypd_10th_7	WE372 	2.58E-05
ypd_10th_7	Y55	8.51E-05
ypd_10th_7	Y9J 	7.09E-06
ypd_10th_7	YIIc17_E5	0.000016446
ypd_10th_7	YJM145 	0.000220887
ypd_10th_7	YJM269 	0.152391052
ypd_10th_7	YJM320 	4.00E-05
ypd_10th_7	YJM326 	2.61E-05
ypd_10th_7	YJM413 	1.53E-05
ypd_10th_7	YJM421 	0.004298365
ypd_10th_7	YJM434 	6.49E-05
ypd_10th_7	YJM436 	0.00086455
ypd_10th_7	YJM454 	2.35E-05
ypd_10th_7	YJM975	0.00065699
ypd_10th_7	YJM978	0.002487885
ypd_10th_7	YPS128	0.333716885
ypd_10th_7	YPS606	0.429917713
ypd_10th_8	273614N	2.40E-05
ypd_10th_8	CLIB154 	8.94E-05
ypd_10th_8	CLIB294	5.05E-05
ypd_10th_8	CLIB413 	0.001396061
ypd_10th_8	CLIB483 	0.001731956
ypd_10th_8	DBVPG1106	0.000016253
ypd_10th_8	DBVPG1399 	2.20E-05
ypd_10th_8	DBVPG1853	4.67E-05
ypd_10th_8	DBVPG3591 	2.37E-05
ypd_10th_8	DBVPG4651	1.39E-05
ypd_10th_8	DBVPG6040	0.002637719
ypd_10th_8	DBVPG6765	1.69E-05
ypd_10th_8	EM93	9.24E-05
ypd_10th_8	I14 	3.22E-05
ypd_10th_8	K12 	0.00033691
ypd_10th_8	L-1374	4.13E-05
ypd_10th_8	L-1528	0.001713671
ypd_10th_8	M22 	0.000310161
ypd_10th_8	NCYC361	2.81E-05
ypd_10th_8	S288c	0.00004605
ypd_10th_8	SSP81	0.049560933
ypd_10th_8	T73 	0.000163884
ypd_10th_8	UWOPS03-461.4	0.007403221
ypd_10th_8	UWOPS05-217.3	0.002521578
ypd_10th_8	UWOPS83-787.3	0.020627709
ypd_10th_8	UWOPS87-2421	6.20E-05
ypd_10th_8	WE372 	3.79E-05
ypd_10th_8	Y55	0.000113093
ypd_10th_8	Y9J 	6.43E-06
ypd_10th_8	YIIc17_E5	1.29E-05
ypd_10th_8	YJM145 	0.000269528
ypd_10th_8	YJM269 	0.114668665
ypd_10th_8	YJM320 	4.57E-05
ypd_10th_8	YJM326 	3.28E-05
ypd_10th_8	YJM413 	2.27E-05
ypd_10th_8	YJM421 	0.003982651
ypd_10th_8	YJM434 	7.72E-05
ypd_10th_8	YJM436 	0.000782512
ypd_10th_8	YJM454 	2.54E-05
ypd_10th_8	YJM975	0.000536009
ypd_10th_8	YJM978	0.002870001
ypd_10th_8	YPS128	0.359769669
ypd_10th_8	YPS606	0.427737582
ypd_1st_1	273614N	0.023544784
ypd_1st_1	CLIB154 	0.063036039
ypd_1st_1	CLIB294	0.036382235
ypd_1st_1	CLIB413 	0.119064888
ypd_1st_1	CLIB483 	0.010992256
ypd_1st_1	DBVPG1106	0.016183807
ypd_1st_1	DBVPG1399 	0.012567011
ypd_1st_1	DBVPG1853	0.009327945
ypd_1st_1	DBVPG3591 	0.020433401
ypd_1st_1	DBVPG4651	0.005299727
ypd_1st_1	DBVPG6040	0.014499988
ypd_1st_1	DBVPG6765	0.010679551
ypd_1st_1	EM93	0.028462054
ypd_1st_1	I14 	0.009950399
ypd_1st_1	K12 	0.028439886
ypd_1st_1	L-1374	0.020960684
ypd_1st_1	L-1528	0.07689584
ypd_1st_1	M22 	0.016690991
ypd_1st_1	NCYC361	0.009422229
ypd_1st_1	S288c	0.011257671
ypd_1st_1	SSP81	0.027351405
ypd_1st_1	T73 	0.01820427
ypd_1st_1	UWOPS03-461.4	0.07285107
ypd_1st_1	UWOPS05-217.3	0.026319818
ypd_1st_1	UWOPS83-787.3	0.01487949
ypd_1st_1	UWOPS87-2421	0.033475676
ypd_1st_1	WE372 	0.022222143
ypd_1st_1	Y55	0.015767064
ypd_1st_1	Y9J 	0.000790629
ypd_1st_1	YIIc17_E5	0.010552163
ypd_1st_1	YJM145 	0.021539986
ypd_1st_1	YJM269 	0.009932074
ypd_1st_1	YJM320 	0.015326381
ypd_1st_1	YJM326 	0.012090269
ypd_1st_1	YJM413 	0.013388379
ypd_1st_1	YJM421 	0.006153902
ypd_1st_1	YJM434 	0.03934968
ypd_1st_1	YJM436 	0.008029244
ypd_1st_1	YJM454 	0.014940376
ypd_1st_1	YJM975	0.009534838
ypd_1st_1	YJM978	0.018978052
ypd_1st_1	YPS128	0.020893
ypd_1st_1	YPS606	0.023338704
ypd_1st_2	273614N	0.015790571
ypd_1st_2	CLIB154 	0.070265601
ypd_1st_2	CLIB294	0.03317611
ypd_1st_2	CLIB413 	0.122220831
ypd_1st_2	CLIB483 	0.011320413
ypd_1st_2	DBVPG1106	0.016878801
ypd_1st_2	DBVPG1399 	0.012310604
ypd_1st_2	DBVPG1853	0.009491581
ypd_1st_2	DBVPG3591 	0.020713751
ypd_1st_2	DBVPG4651	0.005368235
ypd_1st_2	DBVPG6040	0.014844089
ypd_1st_2	DBVPG6765	0.011480134
ypd_1st_2	EM93	0.028008651
ypd_1st_2	I14 	0.010459714
ypd_1st_2	K12 	0.030007008
ypd_1st_2	L-1374	0.021073635
ypd_1st_2	L-1528	0.077328681
ypd_1st_2	M22 	0.017960087
ypd_1st_2	NCYC361	0.01029264
ypd_1st_2	S288c	0.012053252
ypd_1st_2	SSP81	0.028134008
ypd_1st_2	T73 	0.018413516
ypd_1st_2	UWOPS03-461.4	0.072776823
ypd_1st_2	UWOPS05-217.3	0.025512544
ypd_1st_2	UWOPS83-787.3	0.014652096
ypd_1st_2	UWOPS87-2421	0.027633653
ypd_1st_2	WE372 	0.023419212
ypd_1st_2	Y55	0.016380642
ypd_1st_2	Y9J 	0.00083864
ypd_1st_2	YIIc17_E5	0.011824699
ypd_1st_2	YJM145 	0.021857536
ypd_1st_2	YJM269 	0.010249135
ypd_1st_2	YJM320 	0.016235422
ypd_1st_2	YJM326 	0.012991565
ypd_1st_2	YJM413 	0.013460313
ypd_1st_2	YJM421 	0.006223623
ypd_1st_2	YJM434 	0.037770247
ypd_1st_2	YJM436 	0.00822055
ypd_1st_2	YJM454 	0.015771576
ypd_1st_2	YJM975	0.010359224
ypd_1st_2	YJM978	0.019606526
ypd_1st_2	YPS128	0.019529729
ypd_1st_2	YPS606	0.017094334
ypd_1st_3	273614N	0.023240654
ypd_1st_3	CLIB154 	0.065058484
ypd_1st_3	CLIB294	0.029842633
ypd_1st_3	CLIB413 	0.123051597
ypd_1st_3	CLIB483 	0.011672974
ypd_1st_3	DBVPG1106	0.016700759
ypd_1st_3	DBVPG1399 	0.012466403
ypd_1st_3	DBVPG1853	0.010569623
ypd_1st_3	DBVPG3591 	0.020012054
ypd_1st_3	DBVPG4651	0.005833631
ypd_1st_3	DBVPG6040	0.016060055
ypd_1st_3	DBVPG6765	0.010821683
ypd_1st_3	EM93	0.029370548
ypd_1st_3	I14 	0.011532416
ypd_1st_3	K12 	0.026039635
ypd_1st_3	L-1374	0.019005057
ypd_1st_3	L-1528	0.074818287
ypd_1st_3	M22 	0.016778736
ypd_1st_3	NCYC361	0.009172988
ypd_1st_3	S288c	0.011547565
ypd_1st_3	SSP81	0.026926873
ypd_1st_3	T73 	0.020348548
ypd_1st_3	UWOPS03-461.4	0.074220546
ypd_1st_3	UWOPS05-217.3	0.027697021
ypd_1st_3	UWOPS83-787.3	0.0130187
ypd_1st_3	UWOPS87-2421	0.03383064
ypd_1st_3	WE372 	0.022225213
ypd_1st_3	Y55	0.017414721
ypd_1st_3	Y9J 	0.000719177
ypd_1st_3	YIIc17_E5	0.011904919
ypd_1st_3	YJM145 	0.017408761
ypd_1st_3	YJM269 	0.01095181
ypd_1st_3	YJM320 	0.016010388
ypd_1st_3	YJM326 	0.013584406
ypd_1st_3	YJM413 	0.014443893
ypd_1st_3	YJM421 	0.007004778
ypd_1st_3	YJM434 	0.033668229
ypd_1st_3	YJM436 	0.009968653
ypd_1st_3	YJM454 	0.015632423
ypd_1st_3	YJM975	0.010210282
ypd_1st_3	YJM978	0.020363448
ypd_1st_3	YPS128	0.019489558
ypd_1st_3	YPS606	0.019361231
ypd_1st_4	273614N	0.024918154
ypd_1st_4	CLIB154 	0.063692562
ypd_1st_4	CLIB294	0.03595469
ypd_1st_4	CLIB413 	0.111868577
ypd_1st_4	CLIB483 	0.011557269
ypd_1st_4	DBVPG1106	0.016501172
ypd_1st_4	DBVPG1399 	0.012241188
ypd_1st_4	DBVPG1853	0.009292204
ypd_1st_4	DBVPG3591 	0.021035579
ypd_1st_4	DBVPG4651	0.005302671
ypd_1st_4	DBVPG6040	0.015305382
ypd_1st_4	DBVPG6765	0.011440837
ypd_1st_4	EM93	0.028963611
ypd_1st_4	I14 	0.011186888
ypd_1st_4	K12 	0.028632041
ypd_1st_4	L-1374	0.020617221
ypd_1st_4	L-1528	0.082391263
ypd_1st_4	M22 	0.015990219
ypd_1st_4	NCYC361	0.008947799
ypd_1st_4	S288c	0.011482398
ypd_1st_4	SSP81	0.02364757
ypd_1st_4	T73 	0.019377731
ypd_1st_4	UWOPS03-461.4	0.06704157
ypd_1st_4	UWOPS05-217.3	0.024751911
ypd_1st_4	UWOPS83-787.3	0.013182724
ypd_1st_4	UWOPS87-2421	0.034615576
ypd_1st_4	WE372 	0.02367408
ypd_1st_4	Y55	0.016356932
ypd_1st_4	Y9J 	0.000886529
ypd_1st_4	YIIc17_E5	0.010885572
ypd_1st_4	YJM145 	0.022036095
ypd_1st_4	YJM269 	0.01043971
ypd_1st_4	YJM320 	0.016824796
ypd_1st_4	YJM326 	0.013439423
ypd_1st_4	YJM413 	0.013132912
ypd_1st_4	YJM421 	0.00611708
ypd_1st_4	YJM434 	0.041324898
ypd_1st_4	YJM436 	0.008586281
ypd_1st_4	YJM454 	0.015096355
ypd_1st_4	YJM975	0.009211833
ypd_1st_4	YJM978	0.019844373
ypd_1st_4	YPS128	0.01978631
ypd_1st_4	YPS606	0.022418011
ypd_1st_5	273614N	0.023363394
ypd_1st_5	CLIB154 	0.064769018
ypd_1st_5	CLIB294	0.029987735
ypd_1st_5	CLIB413 	0.11421781
ypd_1st_5	CLIB483 	0.011333065
ypd_1st_5	DBVPG1106	0.016664128
ypd_1st_5	DBVPG1399 	0.012122802
ypd_1st_5	DBVPG1853	0.009720066
ypd_1st_5	DBVPG3591 	0.020203995
ypd_1st_5	DBVPG4651	0.005136891
ypd_1st_5	DBVPG6040	0.015061029
ypd_1st_5	DBVPG6765	0.01134094
ypd_1st_5	EM93	0.02941647
ypd_1st_5	I14 	0.010584502
ypd_1st_5	K12 	0.028966927
ypd_1st_5	L-1374	0.0199232
ypd_1st_5	L-1528	0.08573755
ypd_1st_5	M22 	0.015159353
ypd_1st_5	NCYC361	0.009683842
ypd_1st_5	S288c	0.011261516
ypd_1st_5	SSP81	0.025088047
ypd_1st_5	T73 	0.018775268
ypd_1st_5	UWOPS03-461.4	0.079153483
ypd_1st_5	UWOPS05-217.3	0.027626624
ypd_1st_5	UWOPS83-787.3	0.013531054
ypd_1st_5	UWOPS87-2421	0.032892213
ypd_1st_5	WE372 	0.021599197
ypd_1st_5	Y55	0.016100737
ypd_1st_5	Y9J 	0.000679489
ypd_1st_5	YIIc17_E5	0.011182317
ypd_1st_5	YJM145 	0.023549916
ypd_1st_5	YJM269 	0.010114935
ypd_1st_5	YJM320 	0.017961232
ypd_1st_5	YJM326 	0.012761567
ypd_1st_5	YJM413 	0.013050012
ypd_1st_5	YJM421 	0.006804114
ypd_1st_5	YJM434 	0.034473712
ypd_1st_5	YJM436 	0.009252299
ypd_1st_5	YJM454 	0.015192202
ypd_1st_5	YJM975	0.01009761
ypd_1st_5	YJM978	0.019454532
ypd_1st_5	YPS128	0.018496948
ypd_1st_5	YPS606	0.017508258
ypd_1st_6	273614N	0.023986042
ypd_1st_6	CLIB154 	0.063182311
ypd_1st_6	CLIB294	0.02605279
ypd_1st_6	CLIB413 	0.120438758
ypd_1st_6	CLIB483 	0.011286551
ypd_1st_6	DBVPG1106	0.016874294
ypd_1st_6	DBVPG1399 	0.01263028
ypd_1st_6	DBVPG1853	0.010113251
ypd_1st_6	DBVPG3591 	0.020430031
ypd_1st_6	DBVPG4651	0.005207768
ypd_1st_6	DBVPG6040	0.015746405
ypd_1st_6	DBVPG6765	0.010570918
ypd_1st_6	EM93	0.028511277
ypd_1st_6	I14 	0.011173024
ypd_1st_6	K12 	0.026445896
ypd_1st_6	L-1374	0.018898641
ypd_1st_6	L-1528	0.080675125
ypd_1st_6	M22 	0.016250577
ypd_1st_6	NCYC361	0.008897002
ypd_1st_6	S288c	0.011526464
ypd_1st_6	SSP81	0.027063664
ypd_1st_6	T73 	0.01921132
ypd_1st_6	UWOPS03-461.4	0.072443148
ypd_1st_6	UWOPS05-217.3	0.026983169
ypd_1st_6	UWOPS83-787.3	0.013172476
ypd_1st_6	UWOPS87-2421	0.033838317
ypd_1st_6	WE372 	0.021657496
ypd_1st_6	Y55	0.016401856
ypd_1st_6	Y9J 	0.000863903
ypd_1st_6	YIIc17_E5	0.011012991
ypd_1st_6	YJM145 	0.022412523
ypd_1st_6	YJM269 	0.010638761
ypd_1st_6	YJM320 	0.017539046
ypd_1st_6	YJM326 	0.013560932
ypd_1st_6	YJM413 	0.013723153
ypd_1st_6	YJM421 	0.006879221
ypd_1st_6	YJM434 	0.040535347
ypd_1st_6	YJM436 	0.008921349
ypd_1st_6	YJM454 	0.015392145
ypd_1st_6	YJM975	0.00914731
ypd_1st_6	YJM978	0.019215697
ypd_1st_6	YPS128	0.020262065
ypd_1st_6	YPS606	0.020226708
ypd_1st_7	273614N	0.023243859
ypd_1st_7	CLIB154 	0.052488495
ypd_1st_7	CLIB294	0.035989217
ypd_1st_7	CLIB413 	0.118787989
ypd_1st_7	CLIB483 	0.011698312
ypd_1st_7	DBVPG1106	0.015715995
ypd_1st_7	DBVPG1399 	0.011720912
ypd_1st_7	DBVPG1853	0.010056795
ypd_1st_7	DBVPG3591 	0.020090132
ypd_1st_7	DBVPG4651	0.005664922
ypd_1st_7	DBVPG6040	0.016106778
ypd_1st_7	DBVPG6765	0.010924184
ypd_1st_7	EM93	0.029604523
ypd_1st_7	I14 	0.011201108
ypd_1st_7	K12 	0.027632871
ypd_1st_7	L-1374	0.019369787
ypd_1st_7	L-1528	0.078976481
ypd_1st_7	M22 	0.017471944
ypd_1st_7	NCYC361	0.009626247
ypd_1st_7	S288c	0.01185022
ypd_1st_7	SSP81	0.023308798
ypd_1st_7	T73 	0.020117309
