Gene	logFC	logCPM	PValue	FDR
YER098W	0.838088393	9.255765418	3.82E-08	2.02E-07
YER099C	-0.033591808	8.567251228	0.865960343	0.935127958
YER101C	0.19165849	7.200257463	0.2342102	0.330337653
YER103W	0.526578388	8.744951116	0.000411366	0.001253309
YER105C	0.207837696	7.88665233	0.141331375	0.217392198
YER106W	0.366201911	9.758004026	0.017926137	0.037380224
YER108C	-1.856051986	9.052189323	1.93E-24	4.00E-23
YER109C_1t	1.21926614	7.766756415	1.20E-07	5.89E-07
YER109C_2	0.409207207	8.142393475	0.047617731	0.087737972
YER110C	1.053835233	6.168516008	0.011109687	0.024456784
YER111C	1.772096327	3.526232536	0.039161864	0.074137304
YER113C	0.244906864	5.38671708	0.507823086	0.614410622
YER114C	-2.762026446	1.554710351	0.010698828	0.023679151
YER115C	-2.501618188	8.774971943	2.13E-09	1.27E-08
YER118C	1.351571369	7.745820033	1.31E-11	9.62E-11
YER119C	0.572064619	8.631437212	0.003602512	0.009028246
YER120W	3.577649234	7.834580773	9.65E-52	1.37E-49
YER121W	0.365156249	8.95060555	0.006128408	0.014417721
YER122C	6.546742536	0.788779348	0.018252846	0.037945977
YER123W	4.454651451	-0.255784953	0.033001094	0.063767982
YER124C	0.60769742	9.127232174	6.69E-06	2.71E-05
YER128W	0.34291772	8.847081501	0.019551764	0.040380779
YER129W	-0.648383926	7.561582227	0.208166857	0.300161008
YER130C	0.130630702	8.339974818	0.38962624	0.497472459
YER131W	0	-1.062674125	1	1
YER132C	-0.230927103	9.180720354	0.229021529	0.324335531
YER134C	0.30857218	9.209067477	0.078991226	0.135668173
YER137C	0	-1.062674125	1	1
YER139C	1.467211957	3.917103918	0.013145192	0.028405226
YER140W	0.284884696	7.731938849	0.052953418	0.096002888
YER142C	0.375967671	8.669675851	0.004208462	0.010351155
YER143W	0.077959977	8.320129407	0.565007342	0.671150339
YER144C	0.288766457	8.013573438	0.045515451	0.084265092
YER145C	-0.888778106	2.497932376	0.539960769	0.645878568
YER149C	0.864299857	9.145836411	1.52E-08	8.37E-08
YER150W	0.168360927	8.416271024	0.18830642	0.27561944
YER151C	0.253557784	-0.300418297	0.920079717	0.978909562
YER152C	0.500277281	8.978578169	0.001189133	0.003347491
YER154W	0	-1.062674125	1	1
YER155C_1	3.931869284	-0.597267757	0.11361098	0.182398878
YER155C_2	-4.599684022	-0.340164571	0.07843891	0.134832255
YER156C	3.766910221	6.341712012	1.56E-40	1.07E-38
YER158C	0.126354723	8.728381007	0.394738776	0.502439259
YER161C	2.412533419	8.62235667	2.71E-39	1.74E-37
YER163C	-0.003915951	8.884425759	0.976450851	1
YER164W	2.222010373	8.414695662	1.28E-30	4.16E-29
YER166W	-0.915229173	8.476075641	3.62E-08	1.92E-07
YER167W	-0.482496345	7.592101725	0.026093419	0.051858777
YER170W	0.330662585	8.869228152	0.049354268	0.090515859
YER173W	0.581618744	7.319216041	0.005599563	0.013295322
YER175C	0.450594824	8.819115488	0.000134546	0.000444163
YER175W-A	0.030751416	6.910693615	0.851452276	0.92375125
YER176W	0.466392826	7.379139224	0.001079093	0.003062894
YER177W	1.37132214	5.599668347	0.000704633	0.002061238
YER179W	1.251114944	-0.184761919	0.606826306	0.709344744
YER180C	0.468436087	8.965513261	0.001282205	0.00357764
YER180C-A	0.093392696	8.706196238	0.502580571	0.609143659
YER181C	-0.167593067	6.162653108	0.558224197	0.663860373
YER182W	-0.543508301	7.556444329	0.041039214	0.077009683
YER183C	0.204572108	8.343714611	0.305492459	0.409381809
YER184C	0.311878353	9.060782272	0.023566174	0.047595565
YER185W	0.44913553	8.906688068	0.00106849	0.003036993
YER186C	-0.293522966	8.024923531	0.102322837	0.168218743
YER186W-A	0.009563587	7.893280317	0.965939447	1
YER187W	-0.849180596	6.43419946	0.001193861	0.003356204
YER188W	-0.198221952	5.481019522	0.533103516	0.639164368
YFL001W	0	-1.062674125	1	1
YFL003C	0.255440804	6.974271532	0.209066285	0.301073032
YFL004W	0.207583211	8.990358094	0.106003259	0.1729549
YFL006W	0.566225485	5.05323862	0.042596023	0.079396669
YFL007W	0.882786021	4.916039905	0.003211583	0.008147904
YFL010W-A_1	0.142094119	5.314636014	0.618730711	0.718356842
YFL010W-A_2	0.343305064	8.382352306	0.023710061	0.047839151
YFL011W	0.461603054	6.527871436	0.081772079	0.139569454
YFL013C	4.002384209	6.912634723	6.69E-38	3.67E-36
YFL014W	0.309308753	6.963850098	0.158519233	0.239615317
YFL016C	0	-1.062674125	1	1
YFL019C	0.723545256	6.727698285	0.002390393	0.006273637
YFL020C	0.5306491	7.394305721	0.006831837	0.015953891
YFL021W	0.005470896	5.501591851	0.979983361	1
YFL026W	0.405036654	8.393825829	0.000796641	0.00230577
YFL027C	0.309439371	8.539917635	0.027056589	0.053488496
YFL028C	1.236233494	8.516879392	1.86E-20	2.86E-19
YFL030W	0.397838201	7.800178531	0.009364686	0.021043663
YFL031W_1t	-0.128931742	8.237653661	0.370779391	0.479064224
YFL031W_2	-0.290152099	8.463223646	0.029090321	0.056961039
YFL032W	-0.421606487	5.335736836	0.367768703	0.476192906
YFL033C	-0.686898196	7.149341999	0.001047083	0.002980271
YFL034W	0.345834294	7.785155575	0.015678032	0.033300626
YFL035C-B	0.011540709	7.355451066	0.9692053	1
YFL040W	0.575438354	7.944341404	0.001777388	0.004783933
YFL041W	0.122064447	6.674278212	0.618301346	0.718061185
YFL041W-A	-0.081963356	8.323426082	0.536605389	0.642238832
YFL042C_1t	0.110020207	8.037536502	0.479117803	0.586412797
YFL042C_2	-0.16401864	8.877392942	0.145723772	0.22256585
YFL043C	-0.229388096	8.537683048	0.404315622	0.512771327
YFL046W	0.055540724	7.722230593	0.709804985	0.802116714
YFL047W	0.023232388	8.007548597	0.862356856	0.931971254
YFL049W	0.400896566	7.025373729	0.018427494	0.038289686
YFL050C	-0.489577699	6.754036414	0.037231919	0.070811285
YFL051C	-1.998673174	3.61619286	0.001788609	0.004807837
YFL052W	0.098468827	7.348058868	0.727847076	0.818006969
YFL053W	0.237451078	7.760260389	0.16659424	0.249163874
YFL054C	-0.050898166	8.493419958	0.669946862	0.766255361
YFL055W	0.301724221	7.116707779	0.159768987	0.241149664
YFL056C	0.124552911	8.521342559	0.298829728	0.402157886
YFL063W	0.196201518	8.429028265	0.149264631	0.227213938
YFR001W	2.548457491	10.54508204	8.43E-47	8.25E-45
YFR006W	1.755964435	9.658370558	1.72E-11	1.25E-10
YFR007W	-1.01566245	5.823221627	0.053705947	0.097195703
YFR009W	1.195737641	7.397301504	1.87E-16	2.01E-15
YFR010W	0.649453554	2.002714047	0.548259444	0.654281741
YFR011C	-0.137813987	7.43825438	0.446351012	0.554461603
YFR012W	0.187596114	8.456395273	0.242736154	0.34004201
YFR013W	1.547466666	7.973445722	9.41E-27	2.29E-25
YFR014C	0.091035759	8.383410586	0.453693067	0.560256787
YFR015C	0.195823764	8.768233888	0.1131037	0.182398878
YFR016C	-0.062305797	6.371851485	0.86525247	0.934747733
YFR017C	0.466383265	9.143808025	0.001236428	0.003464021
YFR018C	0.273427403	8.104033606	0.026922549	0.053249123
YFR019W	-2.757674538	1.042306841	0.0968574	0.160712117
YFR020W	0.395028733	8.877767903	0.009114882	0.020538467
YFR022W	0.54696496	8.893118728	1.56E-07	7.60E-07
YFR023W	0.639986782	8.522864951	6.69E-07	3.05E-06
YFR024C	-0.002048996	5.965016964	1	1
YFR024C-A	0.468775926	8.293818321	0.000266058	0.000834731
YFR025C	0.37059712	8.137824931	0.009812959	0.021907258
YFR026C	0.058817401	8.7635685	0.680101585	0.776018188
YFR030W	0.407087225	9.022982818	0.001198579	0.003367164
YFR031C-A	0.422033471	5.199834106	0.08338955	0.142212055
YFR032C	0.554615026	7.771764674	0.002605339	0.006764337
YFR032C-A	2.739198712	0.977532967	0.078086488	0.134451389
YFR033C	1.157943747	4.562967116	0.005253539	0.012590114
YFR034C	-2.16154698	8.029880832	4.19E-08	2.20E-07
YFR035C	-0.154286143	7.921590867	0.349474684	0.456415936
YFR036W	1.190819889	5.937963589	0.001001527	0.002858526
YFR038W_2	0.669195978	8.258079818	0.000228551	0.000723129
YFR039C	-0.734883594	7.337669582	8.98E-07	4.02E-06
YFR040W	2.343909564	4.582761987	2.09E-08	1.13E-07
YFR043C	-0.607059669	8.11163589	3.10E-05	0.000114016
YFR044C	0.700098975	7.296732298	0.000125169	0.000415545
YFR045W_1t	0.443317195	6.511886258	0.029453544	0.057562562
YFR046C	-2.365163724	7.735376909	2.45E-13	2.07E-12
YFR047C	-0.084878852	7.053418942	0.598533587	0.702047102
YFR053C	0.093217537	7.97943608	0.47390542	0.581577565
YFR054C	-0.55098243	7.685868855	0.041940924	0.078353271
YFR055W	0.244655973	7.289842713	0.126298263	0.19949495
YFR056C	0.044610174	7.964584196	0.762763376	0.847056869
YFR057W	0.242017835	9.14721112	0.040977323	0.076937779
YGL002W	0.314741617	4.969417568	0.360482046	0.468114126
YGL003C	3.743670732	3.722121818	5.89E-07	2.71E-06
YGL004C	0.18413413	8.76073058	0.205092979	0.296493895
YGL005C	-2.261847244	0.743299107	0.215554775	0.308471492
YGL006W	0.098906521	8.678131185	0.417008064	0.52557594
YGL006W-A	2.073530069	9.108730386	1.41E-26	3.39E-25
YGL007C-A	9.641153549	3.626326262	2.66E-19	3.59E-18
YGL007W	1.237631692	5.479763615	0.003056814	0.007795418
YGL010W	0.699525976	9.16888885	3.76E-06	1.57E-05
YGL012W	0	-1.062674125	1	1
YGL013C	1.608399054	9.336937603	3.60E-26	8.30E-25
YGL014W	0.835861392	8.513960174	3.91E-07	1.83E-06
YGL017W	0	-1.062674125	1	1
YGL019W	7.099857732	1.342161771	8.36E-09	4.72E-08
YGL020C	-3.029619609	-0.682464239	0.180411094	0.266244021
YGL021W	0.173745249	8.199324601	0.363991256	0.472074491
YGL023C_1	1.058266343	2.948538731	0.040032465	0.075439446
YGL023C_2	1.499487107	6.153761463	3.33E-05	0.000121614
YGL024W	4.162465862	-0.525246036	0.103431376	0.16930284
YGL025C	5.79425297	0.262094164	0.042798439	0.0797378
YGL027C	-1.960910121	6.660149943	1.67E-07	8.10E-07
YGL031C	10.24183696	4.217123667	4.12E-29	1.20E-27
YGL032C_2	0.551501742	8.226053015	5.52E-05	0.000193648
YGL033W_2	0.136881699	1.708483946	0.935804619	0.990511714
YGL034C	-0.903389737	8.289243623	5.15E-11	3.56E-10
YGL036W	0.670533106	7.698788408	0.000279408	0.000871956
YGL037C	0.754798221	8.500595374	9.54E-08	4.76E-07
YGL038C	0	-1.062674125	1	1
YGL039W	0.724407579	9.399389312	3.01E-08	1.60E-07
YGL041C	0.346487208	7.396575465	0.251826435	0.350137567
YGL041C-B	0.252899366	6.591837901	0.360656645	0.468192929
YGL042C	2.873472884	7.645606445	2.71E-86	1.39E-83
YGL043W	3.958383562	5.545334265	1.37E-21	2.26E-20
YGL045W_1t	-4.06453691	5.632600813	1.54E-10	1.02E-09
YGL045W_2	-3.828899599	5.181719125	5.40E-11	3.71E-10
YGL046W	-3.418398593	5.638278066	1.92E-07	9.30E-07
YGL049C	1.213200124	8.253478547	3.59E-16	3.77E-15
YGL050W	0.414267481	8.747757441	0.002966668	0.007601623
YGL051W	-0.938525985	9.296047978	2.13E-12	1.66E-11
YGL053W	0.321605725	7.80200166	0.082234932	0.140301192
YGL054C	-7.382947707	1.588077022	2.58E-10	1.69E-09
YGL056C	0.261477397	9.194652249	0.036189561	0.069102695
YGL057C	-0.161849243	6.120622746	0.588990986	0.692831412
YGL058W	0	-1.062674125	1	1
YGL059W	0.515980678	8.797304972	2.37E-06	1.01E-05
YGL060W	1.228891634	8.393156455	4.24E-09	2.47E-08
YGL062W	0.466085461	9.119741586	3.15E-05	0.000115793
YGL063W	0.58989578	8.780139203	3.21E-06	1.35E-05
YGL064C	0.900604188	7.613138755	1.11E-07	5.50E-07
YGL066W	0.951231164	0.45469174	0.662165665	0.759559275
YGL067W	-0.680144952	8.405672824	0.003589525	0.009006684
YGL070C	0	-1.062674125	1	1
YGL071W	-2.269670692	4.730819998	0.038543472	0.073035348
YGL072C	4.111324955	-0.46635599	0.085365516	0.144989235
YGL076C	8.234146006	2.311064421	8.85E-11	5.97E-10
YGL077C	0.140532064	6.21705392	0.579896052	0.683894627
YGL078C	10.14927502	4.123220242	6.32E-32	2.28E-30
YGL079W	0.078661226	9.526034594	0.504336254	0.611091393
YGL080W	0.528489841	6.103238676	0.055062594	0.099214056
YGL081W_1	0.673942361	9.094074275	1.25E-05	4.85E-05
YGL081W_2	0.200862012	8.427429308	0.139969554	0.215701113
YGL082W	0.033944043	8.650086575	0.817089482	0.894575858
YGL083W	0.658759844	9.388384332	0.000157329	0.000511975
YGL085W	0.234289456	8.411993522	0.14077271	0.216613942
YGL086W	1.681325466	8.251461083	1.74E-25	3.75E-24
YGL087C	0.271017262	6.227406946	0.297497449	0.400627298
YGL089C	0.24283636	8.552627725	0.066718324	0.117385408
YGL090W	-0.964861852	3.897548073	0.171247566	0.254733079
YGL094C	-0.047344923	9.756011041	0.748542978	0.834647759
YGL096W	-0.29577106	8.746109814	0.031039665	0.060346747
YGL100W	1.060968418	6.81981358	3.11E-06	1.32E-05
YGL101W_2	0.16700619	8.939825665	0.262167992	0.361459392
YGL104C_2	-0.675977981	7.982604745	5.25E-07	2.43E-06
YGL108C	-2.347837919	9.756767853	1.69E-21	2.76E-20
YGL114W	0.355305533	9.195863564	0.009793945	0.021876693
YGL127C	8.213340692	2.253243211	2.62E-06	1.12E-05
YGL131C	0.805161709	8.907938688	3.22E-07	1.52E-06
YGL134W	0.324498225	8.545673271	0.036900725	0.070278952
YGL136C	-0.635639355	4.939542615	0.228555151	0.323968466
YGL139W	-0.081159653	8.744197245	0.637492123	0.736601806
YGL146C	0.199479382	8.709804859	0.097051625	0.160839587
YGL147C	4.080249409	6.190371956	3.81E-29	1.12E-27
YGL148W	0	-1.062674125	1	1
YGL149W	1.584697193	8.126563772	7.24E-22	1.23E-20
YGL151W	2.372502962	8.374203397	1.55E-15	1.58E-14
YGL152C	-0.616064548	4.721593732	0.252652055	0.350810793
YGL153W	-1.554296203	3.807467133	0.003376458	0.008550365
YGL154C	0.034153896	8.102468504	0.836638019	0.912332783
YGL156W	0.516422947	8.345014901	0.000438248	0.001327339
YGL157W	0.367199595	8.557449061	0.004013865	0.009937942
YGL158W	0.236164712	8.035118899	0.057113905	0.102327005
YGL160W	-0.755476646	7.737366146	4.34E-05	0.000155391
YGL162W	0.556543573	8.120937601	0.001307596	0.003636144
YGL163C	6.580460758	5.101512192	3.97E-17	4.53E-16
YGL164C	0.197914494	8.379164774	0.243961157	0.341512383
YGL165C	-1.817686685	3.441037691	0.055422312	0.099731043
YGL167C	3.931869284	-0.597267757	0.11361098	0.182398878
YGL168W	3.801079328	-0.634505811	0.129959904	0.203712893
YGL170C	0.140484499	8.661405146	0.354926504	0.46213391
YGL173C	0	-1.062674125	1	1
YGL174W	7.866093267	1.995388477	8.02E-10	5.00E-09
YGL176C	0.611646089	7.370831957	0.001369798	0.00378606
YGL177W	0.30404346	8.018759218	0.122721554	0.194743469
YGL178W	-0.516773943	8.370343226	0.051202236	0.093322035
YGL179C	0.66737816	8.167295856	1.97E-06	8.52E-06
YGL181W	-1.393814382	10.81308889	1.68E-31	5.75E-30
YGL184C	0.11034846	8.210620893	0.41588205	0.524478437
YGL185C	-0.716278263	5.834485617	0.138505904	0.213766153
YGL186C	-4.82649644	4.934003216	2.59E-14	2.41E-13
YGL188C-A	6.292402131	0.663364642	0.003928302	0.009743707
YGL191W	0.302070978	5.973546336	0.216129187	0.309185854
YGL192W	0.254404252	8.565913914	0.066432035	0.117032004
YGL196W_1t	0.961917455	8.38995782	7.00E-09	3.99E-08
YGL196W_2	-0.192660694	8.973101528	0.110692548	0.179253889
YGL197W	-1.18363273	4.475261383	0.035678289	0.068267117
YGL198W	0.321522461	7.938512182	0.05859328	0.104612676
YGL199C	-1.413939978	9.481176533	4.08E-26	9.34E-25
YGL200C	0.153461018	7.062430613	0.426874957	0.534406357
YGL202W_1	1.788887263	8.535823651	1.99E-26	4.67E-25
YGL202W_2	1.011853406	8.552119197	1.76E-08	9.56E-08
YGL205W	1.509101261	8.548042803	1.12E-11	8.31E-11
YGL208W	0.120036846	8.194418671	0.361683576	0.469229639
YGL209W	1.724122436	6.778809358	6.26E-14	5.61E-13
YGL210W	0.936232667	6.843422101	1.15E-06	5.09E-06
YGL211W_1t	5.144774276	0.053928158	0.018178153	0.037809823
YGL211W_2	8.735999827	2.762806677	2.45E-10	1.60E-09
YGL212W	-2.429087013	1.125192486	0.112317292	0.181598769
YGL213C	1.594493086	5.211043133	3.10E-07	1.47E-06
YGL215W	1.721656272	5.795310982	2.24E-12	1.74E-11
YGL216W_1	1.787392726	7.621911973	7.21E-23	1.33E-21
YGL216W_2	1.61171703	7.570602036	2.16E-22	3.89E-21
YGL217C	1.924231049	5.088437749	1.41E-07	6.91E-07
YGL218W	5.268527097	-0.045037958	0.055497254	0.099778527
YGL221C	0.329574833	6.664106048	0.142077439	0.21805014
YGL222C	-3.091260226	6.521459732	8.33E-10	5.19E-09
YGL224C_1	-0.853779088	5.091434886	0.107736618	0.175504359
YGL229C	0.463801591	7.544695613	0.055182502	0.099386539
YGL230C	0.045059466	8.081991804	0.737801216	0.825806917
YGL234W	8.815346831	2.856690217	2.77E-22	4.88E-21
YGL235W	0.737553612	8.707103436	3.85E-05	0.00013903
YGL237C_2	0.187315653	3.187400465	0.756537091	0.841506751
YGL240W	0	-1.062674125	1	1
YGL241W	0.004395329	7.139026088	0.990827449	1
YGL242C	2.701423644	5.601798893	8.00E-16	8.28E-15
YGL243W	0.07959507	7.941205716	0.577357739	0.681879399
YGL244W	0	-1.062674125	1	1
YGL246C	0	-1.062674125	1	1
YGL249W	-0.288407063	6.869174516	0.159087963	0.240298246
YGL250W	-1.120477028	3.591247533	0.03917913	0.074137304
YGL252C	-0.860478756	1.388123299	0.5966281	0.700323216
YGL253W	3.581152787	6.309171325	2.82E-22	4.95E-21
YGL254W	0.45390705	8.048924733	0.001271319	0.003551865
YGL255W	0.40993806	8.267695861	0.027885537	0.05502139
YGL256W	-0.094709005	8.569819536	0.484464011	0.591546965
YGL257C	0.152115075	8.76506665	0.383572403	0.491575483
YGL258W	0.522023072	8.446840437	2.18E-05	8.24E-05
YGL259W	0.304329293	8.805198158	0.026766785	0.052992045
YGL260W	0.204170737	8.982132549	0.281986779	0.38355968
YGL261C	0.079447022	8.048292454	0.546453427	0.6525054
YGL263W	0.408920048	8.12003968	0.009684747	0.021668106
YGR001C	0.667587411	8.169498776	0.001329209	0.003686267
YGR003W	0.38328742	8.060689745	0.005062104	0.012194853
YGR004W	1.702663614	6.306532848	7.23E-13	5.90E-12
YGR007W	0.37539009	7.913485345	0.021379243	0.043694026
YGR008C	0.293621839	8.988255514	0.013785262	0.029663574
YGR010W	0.102616922	6.344622535	0.635173297	0.734335373
YGR011W	0.419413112	9.991000625	0.000964766	0.002761274
YGR012W	1.698645306	5.359118017	0.000165123	0.000536061
YGR015C	0.699277109	8.13651817	2.30E-05	8.63E-05
YGR016W	3.446319704	4.360935373	4.57E-05	0.000162322
YGR017W	0.527104787	8.866609778	1.40E-05	5.41E-05
YGR018C	0.262959726	8.40426406	0.029016291	0.056870271
YGR019W	0.677973419	7.813450881	4.97E-08	2.57E-07
YGR020C	7.412765574	1.508214421	0.00294703	0.007560733
YGR021W	1.062248351	6.835232501	1.30E-06	5.72E-06
YGR022C	0.095016774	9.254764174	0.436095253	0.544011671
YGR025W	0.17903185	9.51916268	0.137513149	0.212553232
YGR026W	0.441194548	8.814422032	0.002207488	0.005842097
YGR027C	-0.391192424	2.26068019	0.705465397	0.799410748
YGR028W	-2.004215361	8.771190497	1.14E-22	2.06E-21
YGR031W	0.461373318	8.682246943	0.000727207	0.002124251
YGR032W	3.499644447	7.130270602	9.24E-30	2.86E-28
YGR033C	-3.001181984	9.607221711	7.29E-18	8.79E-17
YGR034W	1.339059664	5.611240074	3.32E-05	0.000121318
YGR035C	-0.302826688	8.583792795	0.125129699	0.19795345
YGR036C	0	-1.062674125	1	1
YGR037C_2	6.976822671	4.842492245	5.52E-15	5.38E-14
YGR038W	0.827866141	8.578791957	2.94E-12	2.27E-11
YGR039W	-0.044447351	7.961398514	0.786558228	0.867853508
YGR040W	-0.074330454	8.520267202	0.542733669	0.648440518
YGR042W	0.303922562	8.234875326	0.076370903	0.132050656
YGR043C	0.515573408	8.808896465	4.53E-05	0.000161243
YGR044C	-0.433989419	9.883593159	0.005067837	0.012194853
YGR045C	0.459379164	8.854916469	0.000114177	0.000381829
YGR049W	0.857514935	8.362580967	1.93E-09	1.16E-08
YGR050C	-1.473022038	8.440141788	3.17E-10	2.07E-09
YGR051C	0.665316941	8.063191602	0.000132793	0.000438728
YGR052W	0.545779681	8.539133492	1.18E-05	4.59E-05
YGR053C	0.149027486	7.525087719	0.452432304	0.559247148
YGR055W	-3.142899323	8.478962036	1.26E-17	1.48E-16
YGR057C	0.194537612	5.517359625	0.646691161	0.745309691
YGR058W	0.544808555	8.49739892	0.000425588	0.001293762
YGR059W	0.482584947	8.774791618	0.005467733	0.013027468
YGR061C	10.25470781	4.215333377	4.02E-15	3.95E-14
YGR062C_2	0	-1.062674125	1	1
YGR063C	11.21772497	5.167990306	7.71E-23	1.41E-21
YGR064W	8.988067962	2.993812445	1.70E-11	1.24E-10
YGR066C	0.546843121	8.400441886	2.49E-06	1.06E-05
YGR067C	-0.534950304	6.025642533	0.044060178	0.081902909
YGR068C	0.506921357	4.959496253	0.088437133	0.14908803
YGR069W	0.185083985	7.247922662	0.415119442	0.523838166
YGR070W	-0.077441038	6.322010321	0.74801718	0.834287818
YGR071C	-1.489463835	5.978977663	7.46E-08	3.78E-07
YGR076C	-1.884397182	3.282373595	0.00374398	0.009348577
YGR077C	-0.950721122	4.681321203	0.00415871	0.010253329
YGR078C	-0.675770169	1.474173706	0.609150775	0.711438854
YGR079W	1.117473508	8.220154854	9.92E-13	8.02E-12
YGR080W	-0.338973232	8.611020219	0.134096756	0.208448436
YGR081C	5.477689288	2.658740084	0.00022566	0.000715634
YGR087C	-0.389143093	6.893780699	0.022499006	0.045732401
YGR088W	1.064650458	8.253887066	3.41E-12	2.60E-11
YGR089W	0.969905443	8.169146663	1.07E-10	7.18E-10
YGR093W	0.594752838	8.82377734	3.25E-06	1.37E-05
YGR097W	-2.999327188	9.001134405	1.17E-21	1.94E-20
YGR100W	-0.094079623	7.867555644	0.571942471	0.67739128
YGR102C	0	-1.062674125	1	1
YGR104C	0	-1.062674125	1	1
YGR106C	0.487728937	8.340655496	0.000773523	0.002243598
YGR107W	0.125419227	7.233737769	0.426669431	0.534311811
YGR109C	-0.569240941	6.231113383	0.020627148	0.042367604
YGR110W	-0.003123277	7.209976569	0.995867748	1
YGR111W	0.426326705	7.92769021	0.005322428	0.012730459
YGR117C	-2.815519637	8.351650368	1.28E-19	1.79E-18
YGR118W	5.060097376	3.659650774	7.28E-05	0.000251073
YGR121C	0.649108939	8.023254679	1.86E-05	7.05E-05
YGR122C-A	0.005949382	8.25012232	0.967293663	1
YGR123C	0.581232373	9.57937895	3.62E-06	1.52E-05
YGR124W	0.325153321	8.834330739	0.021242191	0.043457145
YGR125W	0.825988672	9.244317849	1.24E-06	5.47E-06
YGR127W	-0.515022907	7.466255737	0.210207761	0.302504866
YGR129W	0.480844835	9.004799675	0.00028431	0.000884566
YGR130C	-0.148007591	7.205352543	0.421897497	0.5301307
YGR131W	0.667546433	9.521218201	1.94E-06	8.39E-06
YGR132C	-0.350636511	6.822635487	0.071799095	0.125130788
YGR133W	-1.760159161	4.776309083	0.000452717	0.001368138
YGR134W	5.48742479	5.85051811	6.22E-22	1.06E-20
YGR135W	1.428321538	0.928364735	0.453826076	0.560256787
YGR136W	0.222932333	8.399280074	0.058677973	0.104718397
YGR137W	0.135464848	7.830148259	0.397155745	0.505046446
YGR138C	0.471951751	8.113521904	0.005359086	0.01279085
YGR139W	-0.117971404	8.438587467	0.496703176	0.603622132
YGR141W	-0.339181674	7.620100135	0.078355689	0.134745557
YGR142W	0.659398373	8.626035266	6.51E-05	0.000225909
YGR144W	1.347620575	8.370358084	5.58E-19	7.19E-18
YGR146C	0.86705218	9.061179494	2.17E-12	1.69E-11
YGR149W	0.556475588	8.307199772	9.72E-06	3.83E-05
YGR150C	4.451177561	-0.422843268	0.086911311	0.146937676
YGR151C	0.306062874	8.12003686	0.067466174	0.118650396
YGR152C	1.009100479	3.616896256	0.147416689	0.224733899
YGR153W	0.208948607	6.007157282	0.372658429	0.480887329
YGR155W	-1.476860105	2.056444191	0.219646421	0.313889704
YGR157W	6.261659095	0.6111221	0.005911245	0.013938735
YGR159C	0	-1.062674125	1	1
YGR161C	0.478917336	8.291992325	0.001819311	0.004887168
YGR161W-C	0.331442789	6.826642114	0.090657208	0.152206342
YGR162W	10.31441756	4.280955675	2.02E-25	4.36E-24
YGR164W	0.239139402	8.626672989	0.145461213	0.222247429
YGR166W	-0.734636797	5.207062648	0.085125284	0.144811638
YGR167W	4.96024552	-0.206307707	0.065626578	0.115712242
YGR168C	0.28247235	7.880290965	0.223711814	0.318904165
YGR169C	-0.041396994	7.544530605	0.809858411	0.888315471
YGR170W	1.356317142	7.274123365	1.99E-14	1.87E-13
YGR171C	-1.046069129	3.779682531	0.122822111	0.194770446
YGR173W	0.171329239	8.320634317	0.258080042	0.356853102
YGR174C	-0.668590992	3.700938766	0.342211174	0.447826601
YGR174W-A	-0.126281462	6.457676941	0.692503189	0.787109543
YGR176W	0.183298738	8.365661182	0.163723533	0.245674962
YGR177C	0.306513757	8.193028415	0.109853381	0.177965076
YGR178C	-0.131877139	8.790011775	0.394154487	0.501958094
YGR180C_1	2.187146994	1.970462822	0.452124577	0.559203133
YGR182C	0	-1.062674125	1	1
YGR183C	0.051996653	2.310316896	0.967978296	1
YGR184C	0.30142679	7.011442933	0.25767073	0.356454629
YGR187C	1.122947801	5.353910501	0.030962237	0.060224702
YGR188C	3.931869284	-0.597267757	0.11361098	0.182398878
YGR189C	0.096615389	6.510394732	0.632430355	0.731575784
YGR193C	0.326398242	7.566286884	0.086900765	0.146937676
YGR194C	0.53687138	8.799319953	2.73E-05	0.00010155
YGR196C	-0.197030372	5.833752574	0.611449776	0.712733081
YGR197C	0.213950084	7.711257509	0.377578143	0.486472153
YGR199W	0.642531715	8.678910217	1.08E-05	4.22E-05
YGR200C	3.445370768	-0.609163917	0.131550139	0.205656551
YGR201C	-0.424148921	7.971761793	0.008635669	0.019587527
YGR202C	0.221960938	7.963602403	0.244237098	0.341782252
YGR204W	8.590546979	2.660284909	4.52E-08	2.35E-07
YGR205W	0.415068573	9.000885148	0.001706602	0.004614563
YGR206W	-1.404283002	7.552306243	1.18E-06	5.24E-06
YGR207C	0.063838777	8.002904975	0.716019879	0.807142541
YGR208W	-2.262743667	5.546402209	0.000507668	0.001524118
YGR209C	0.199690718	7.143225738	0.485035512	0.59171741
YGR210C	0.344034971	9.252447156	0.009388218	0.021085013
YGR212W	0.235702725	8.222070711	0.199607764	0.289480561
YGR214W	8.732706416	2.760709613	6.24E-15	6.07E-14
YGR215W	-4.718621365	-0.093453535	0.026238032	0.052095802
YGR217W	0.472393875	8.559201009	0.000120118	0.00040007
YGR221C	0.180891775	7.772510929	0.260573985	0.3596236
YGR222W	-2.155869328	4.940532895	0.000110427	0.000369937
YGR223C	0.703244257	8.063980866	2.00E-06	8.61E-06
YGR224W	0.023867309	8.348757228	0.901157731	0.963015672
YGR225W_1t	0.158433955	8.014773911	0.261137112	0.360279802
YGR225W_2	-0.279736583	8.81770643	0.022632241	0.045943074
