Gene	logFC	logCPM	PValue	FDR
YOL032W	0.286084458	8.148668771	0.125424863	0.198267764
YOL033W	-0.535323699	1.748015203	0.669128554	0.765707344
YOL035C	0.690160648	7.78582682	0.000229312	0.00072498
YOL036W	0.672737527	8.28061603	3.08E-06	1.30E-05
YOL037C	0.448537013	8.974004306	0.001407366	0.003874264
YOL038C-A	0.270202813	7.782129951	0.067751276	0.119049913
YOL039W	5.414320672	6.305309414	4.20E-23	7.92E-22
YOL041C	10.28028721	4.257226718	3.93E-32	1.45E-30
YOL042W	0.571936503	8.855044965	1.07E-05	4.20E-05
YOL043C	0.400512637	9.085600285	0.002246534	0.005933969
YOL045W	1.318559637	8.445008925	1.65E-16	1.79E-15
YOL046C	1.308635651	8.784479003	6.41E-15	6.21E-14
YOL047C	-0.146681016	7.121047608	0.574037219	0.678933229
YOL048C_1t	0.461139176	8.432478325	0.008670756	0.019645428
YOL048C_2	-0.431165605	9.069682281	0.005346028	0.01277452
YOL050C	1.368643287	2.272064896	0.22750547	0.32276406
YOL051W	0	-1.062674125	1	1
YOL052C-A	0.071904045	7.827446681	0.676566668	0.772413613
YOL053W	0.045461233	9.145750165	0.771886349	0.854634626
YOL055C	0.363155694	8.598463703	0.002996215	0.007667773
YOL056W	0.282978721	7.183838103	0.255832567	0.354373126
YOL057W	0.704167112	8.061072	0.000107478	0.000360895
YOL058W	0.641037541	7.235151765	0.042195445	0.078757166
YOL060C	-0.194109014	7.281545879	0.276462608	0.377746449
YOL061W	0.384839454	8.680345936	0.014958541	0.031920874
YOL062C	0.748961129	8.467378846	6.85E-06	2.77E-05
YOL063C	0.439398099	8.079612218	0.009067752	0.020454698
YOL065C	0.731550848	7.714886021	1.56E-05	5.99E-05
YOL068C	0.44907276	7.362117046	0.03806799	0.07220094
YOL070C	0.906072189	8.403948533	0.000137442	0.000452632
YOL071W	-0.723424347	5.43919088	0.062409148	0.110513398
YOL072W	0	-1.062674125	1	1
YOL073C	-1.901128139	8.003534188	1.21E-12	9.71E-12
YOL075C	0.159235094	7.615002514	0.29168397	0.393701517
YOL076W	0	-1.062674125	1	1
YOL077W-A	-0.041079941	8.171602435	0.888271111	0.953045336
YOL079W	1.321755366	6.080824141	1.67E-08	9.11E-08
YOL081W	0	-1.062674125	1	1
YOL082W	0.552885165	7.386732493	0.024980961	0.049864633
YOL083W	-1.764743611	2.890417069	0.057564392	0.102999412
YOL084W	0.870908663	8.407867321	1.68E-12	1.31E-11
YOL085C	0.288015229	8.275298722	0.074890915	0.129819343
YOL086W-A	0.252888738	9.063111752	0.035252024	0.067545835
YOL087C	1.610380557	5.937556294	9.14E-10	5.68E-09
YOL088C	-3.400098763	9.71880294	5.45E-50	6.79E-48
YOL089C	1.881697016	8.941079121	3.47E-12	2.63E-11
YOL090W	0.738900997	3.11846149	0.378241529	0.48656422
YOL091W	-1.526508651	7.021553683	2.51E-09	1.49E-08
YOL092W	-0.505778252	8.164853219	0.002619901	0.006793561
YOL093W	2.142018802	7.405419471	1.03E-16	1.14E-15
YOL095C	0.95610735	1.512138898	0.578601074	0.682955317
YOL096C	0.805677395	-0.347275894	0.704828503	0.799142707
YOL097W-A	-0.313030575	5.665697528	0.31468108	0.41765693
YOL098C	0.150616241	8.073219746	0.26824298	0.368475484
YOL099C	-0.648562218	5.800315987	0.045289176	0.083883963
YOL100W	2.214372421	8.848584509	2.94E-26	6.86E-25
YOL101C	0.341269009	8.19708974	0.016874275	0.035492973
YOL103W	0.038068425	8.624685614	0.768229454	0.851975999
YOL104C	-0.151874537	8.344655946	0.382834181	0.491242112
YOL105C	-0.021818828	8.041318402	0.885098862	0.950755725
YOL106W	-0.107682959	7.900232898	0.439693823	0.547452776
YOL107W	-2.106817809	7.319419808	6.35E-08	3.24E-07
YOL108C	-0.776663196	7.990614092	3.78E-05	0.000136598
YOL109W	0.868368308	4.066057348	0.190023755	0.277530828
YOL110W	-0.029516679	3.951595602	0.962780918	1
YOL111C	-2.422853449	7.271304203	9.83E-20	1.39E-18
YOL112W	0.253218701	8.830694939	0.033558619	0.06463258
YOL113W	-0.256692823	8.496928851	0.120742501	0.192122214
YOL114C	-0.608856269	5.980111034	0.032839045	0.063484701
YOL115W	5.040738445	-0.108682099	0.026583716	0.052680363
YOL116W	0.111478574	7.898211142	0.495791742	0.602692712
YOL117W	0.079565894	8.442199364	0.584774322	0.688680555
YOL118C	0.10750381	8.544221465	0.484820721	0.59171741
YOL119C	1.23479864	7.942006874	8.05E-12	6.00E-11
YOL121C	4.948768874	-0.207657725	0.037971794	0.072051743
YOL122C	-1.549007213	8.328324704	2.41E-07	1.16E-06
