Gene	0	1	2	3
82	0.000199421	0.00013979	0.00025231	0.000301069
83	0.000232986	0.000207217	0.000116133	2.89391E-05
84	0.000232986	0.000186968	5.77368E-05	1.44628E-05
85	0.000356139	0.000372441	0.000436403	0.000317552
86	0.000356139	0.000398869	0.000336216	0.000122595
87	0.000183158	0.000156002	4.12639E-05	7.93735E-06
88	0.000183158	6.65855E-05	4.34244E-05	2.38082E-05
89	0.000329093	0.000255586	9.06645E-05	2.26653E-05
90	0.000329093	0.000204336	0.000162712	7.26458E-05
91	0.000236442	0.000232053	0.00013825	6.11031E-05
92	0.000236442	0.000196348	0.000231098	0.000271857
93	0.000344711	0.000364712	0.000496394	0.000466789
94	0.000344711	0.000423815	0.000507264	0.000524936
95	0.000267539	0.000279842	0.000362062	0.000353545
96	0.000267539	0.000335772	0.000420465	0.000413221
97	0.000292824	0.000369645	0.000494401	0.000472318
98	0.000292824	0.000384229	0.000476461	0.000516918
99	0.000287017	0.000319616	0.000281021	0.000174789
100	0.000287017	0.000249599	0.000371257	0.00032963
101	0.000328266	0.000317035	0.000535756	0.000801143
102	0.000328266	0.000405811	0.000345192	0.000160023
103	0.00027649	0.000301396	0.000323386	0.000231379
104	0.00027649	0.000264521	0.000302092	0.000223847
105	0.000280911	0.000270045	0.000302536	0.000268525
106	0.000280911	0.00021327	0.000411176	0.000443258
107	0.000301504	0.000292034	0.000335263	0.000331989
108	0.000301504	0.000227595	0.000437114	0.00038598
109	8.4592E-05	3.92043E-05	4.52056E-07	0
110	8.4592E-05	4.96899E-05	7.11843E-06	3.63722E-06
111	0.000211629	0.000129446	3.57837E-05	5.04501E-06
112	0.000211629	0.000203784	8.77558E-05	6.82746E-05
113	0.000301965	0.000261311	0.000108961	3.21275E-05
114	0.000301965	0.000297244	0.000197127	0.000233984
115	0.000235988	0.000192075	7.93216E-05	1.9224E-05
116	0.000235988	0.00016844	0.000158709	0.000250002
117	0.000227109	0.000234751	0.0002952	0.000268696
118	0.000227109	0.00015624	0.000299787	0.000182446
119	4.22805E-05	4.03064E-05	5.3706E-05	3.5971E-05
120	4.22805E-05	4.8524E-05	2.60965E-05	2.99939E-05
121	0.000147769	0.00015175	0.000180294	0.000154241
122	0.000147769	3.91866E-05	0.000200898	0.000223224
123	0.00036503	0.00045541	0.000515814	0.000442138
124	0.00036503	0.000412666	0.00057599	0.000720815
125	0.000181791	0.000189163	0.000227475	0.000194494
126	0.000181791	0.000175901	0.000249678	0.000293358
127	0.000255206	0.000283529	0.000315903	0.000282162
128	0.000255206	0.000277543	0.000326605	0.000355625
129	4.9675E-05	4.54513E-05	6.49702E-05	4.59387E-05
130	4.9675E-05	2.75798E-05	3.50246E-05	5.21427E-05
131	0.000257943	0.000303724	0.000365228	0.000325486
132	0.000257943	0.000261121	0.000299309	0.000368306
133	9.91259E-05	9.13674E-05	0.000124148	0.000104306
134	9.91259E-05	8.29035E-05	0.000124016	0.00018216
135	0.000227533	0.000239568	0.000302321	0.000288715
136	0.000227533	0.000267957	0.000404028	0.000578793
137	0.000246058	0.000286266	0.000339623	0.000322701
138	0.000246058	0.000342272	0.00043792	0.000627754
139	0.000260202	0.000258637	0.000240911	0.000165847
140	0.000260202	0.000212451	0.000344523	0.000366173
141	8.32578E-05	8.86743E-05	0.000110126	7.14717E-05
142	8.32578E-05	6.1764E-05	7.8899E-05	9.79224E-05
143	0.000245542	0.000235383	0.000235511	0.000164652
144	0.000245542	0.000133961	0.000317832	0.000339069
145	0.000239585	0.000248317	0.000311748	0.000297317
146	0.000239585	0.000218244	0.000377171	0.000349575
147	0.000198307	0.000172806	0.000173398	0.000161612
148	0.000198307	0.00015083	0.000173642	0.000202411
149	0.000220888	0.000220371	0.00023933	0.000213668
150	0.000220888	0.000186745	0.00032857	0.000349151
151	0.000213168	0.000226522	0.000256043	0.000246397
152	0.000213168	0.000210295	0.000341377	0.000454682
153	3.39779E-05	2.70236E-05	3.49505E-05	2.53589E-05
154	3.39779E-05	2.98527E-05	2.64785E-05	3.69861E-05
155	0.000271186	0.000260286	0.00029291	0.000266225
156	0.000271186	0.000278767	0.000346471	0.000417962
157	0.000255496	0.000214336	4.62227E-05	6.75898E-06
158	0.000255496	0.000155049	8.53213E-05	4.33636E-05
159	7.76015E-05	1.60259E-05	5.44978E-07	0
160	7.76015E-05	3.11465E-05	0	0
161	6.64953E-05	5.23034E-05	2.06373E-05	4.52233E-06
162	6.64953E-05	2.78718E-05	3.19907E-05	3.65184E-05
163	0.000224187	0.000247342	0.000297472	0.000302326
164	0.000224187	0.000247956	0.000322708	0.000350435
165	0.000246285	0.000238919	0.000284677	0.000261541
166	0.000246285	0.000243628	0.00030054	0.000327275
167	0.000145805	0.0001268	8.07051E-05	4.70463E-05
168	0.000145805	0.000110837	9.51182E-05	9.3053E-05
